cycle,pool_size,labels_active,labels_random,labels_full_supervision,label_saving_vs_full_pct
1,4500,250,250,4500,0.9444444444444444
2,4500,250,250,4500,0.9444444444444444
3,4500,250,250,4500,0.9444444444444444
4,4500,250,250,4500,0.9444444444444444
5,4500,250,250,4500,0.9444444444444444
6,4500,250,250,4500,0.9444444444444444
