cycle,arm,phase,accuracy,f1,roc_auc,avg_precision,positive_rate
1,active,before,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
1,active,after,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
1,random,before,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
1,random,after,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
2,active,before,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
2,active,after,0.6906116143529246,0.011220825852782765,0.9965362971299944,0.8821161827028813,0.31114388034548135
2,random,before,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
2,random,after,0.23425321255529807,0.004564125969876769,0.9965362971299944,0.8821161827028813,0.7675022821431079
3,active,before,0.6906116143529246,0.011220825852782765,0.9965362971299944,0.8821161827028813,0.31114388034548135
3,active,after,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
3,random,before,0.23425321255529807,0.004564125969876769,0.9965362971299944,0.8821161827028813,0.7675022821431079
3,random,after,0.897759988764834,0.033200531208499334,0.9965362971299944,0.8821161827028813,0.10399550593357208
4,active,before,0.0017554946984060108,0.0035048366746109633,0.9965362971299944,0.8821161827028813,1.0
4,active,after,0.7625166771996349,0.014568764568764568,0.9965362971299944,0.8821161827028813,0.23923881749877116
4,random,before,0.897759988764834,0.033200531208499334,0.9965362971299944,0.8821161827028813,0.10399550593357208
4,random,after,0.9391194438592796,0.05245901639344262,0.9965362971299944,0.8821161827028813,0.06249561126325399
5,active,before,0.7625166771996349,0.014568764568764568,0.9965362971299944,0.8821161827028813,0.23923881749877116
5,active,after,0.9248648269082227,0.044642857142857144,0.9965362971299944,0.8821161827028813,0.07689066779018328
5,random,before,0.9391194438592796,0.05245901639344262,0.9965362971299944,0.8821161827028813,0.06249561126325399
5,random,after,0.9561126325398497,0.0713224368499257,0.9965362971299944,0.8821161827028813,0.0455024225826838
6,active,before,0.9248648269082227,0.044642857142857144,0.9965362971299944,0.8821161827028813,0.07689066779018328
6,active,after,0.9283055965170985,0.04668534080298786,0.9965362971299944,0.8821161827028813,0.0734498981813075
6,random,before,0.9561126325398497,0.0713224368499257,0.9965362971299944,0.8821161827028813,0.0455024225826838
6,random,after,0.9588512042693631,0.07570977917981073,0.9965362971299944,0.8821161827028813,0.04276385085317042
