step,update_batch_size,update_samples,update_time_s,ram_before_mb,ram_after_mb,ram_delta_mb,vram_before_mb,vram_after_mb,vram_delta_mb,lat_before_p50_ms,lat_before_p90_ms,lat_after_p50_ms,lat_after_p90_ms,throughput_before_sps,throughput_after_sps
1,1024,4200,0.002876599999581231,613.9765625,613.98828125,0.01171875,,,,6.233333301174248e-05,7.987777805990644e-05,6.311111064860597e-05,7.751111156216616e-05,14827018.078812767,14925373.124173967
2,1024,4200,0.0026620999997248873,615.36328125,615.3671875,0.00390625,,,,6.272222081962455e-05,7.37777785010015e-05,6.138888946022942e-05,7.641111127062081e-05,15146415.284021968,15212981.720853753
3,1024,4200,0.002668100001756102,616.0859375,616.08984375,0.00390625,,,,6.12777775030635e-05,7.91111095976602e-05,6.216666709709291e-05,7.235555555477427e-05,14858841.209952967,15381985.923415892
4,1024,4200,0.002742000000580447,617.00390625,617.00390625,0.0,,,,6.516666568738098e-05,7.808888808035085e-05,6.55555555163624e-05,7.353333381211592e-05,14544279.320016371,14858841.03146147
5,1024,4200,0.0030613999988418072,617.0078125,617.0078125,0.0,,,,6.633333315322589e-05,9.547777719692224e-05,6.188888922527742e-05,7.537777734493527e-05,13184881.355741786,15187310.126458254
6,1024,4200,0.0027977999998256564,618.4765625,618.4765625,0.0,,,,8.71111114975065e-05,0.0001315666664191263,6.583333338817788e-05,7.395555641980738e-05,10360308.496649213,14866204.150378566
