cycle,active_update_time_s,random_update_time_s,active_latency_p50_before_ms,active_latency_p90_before_ms,active_latency_p50_after_ms,active_latency_p90_after_ms,active_throughput_before_sps,active_throughput_after_sps,sim_annotator_acc_active,sim_annotator_acc_random
1,0.0023281999965547584,0.0011277999947196804,3.965662525062711e-05,4.328347732469996e-05,3.9294993399150815e-05,4.1742152994168097e-05,24607896.790373605,25050866.308073908,0.9141592509491583,0.9130633116928473
2,0.0016357999993488193,0.0012032000013277866,4.33712522170642e-05,4.618004366355778e-05,3.958289467824585e-05,4.141563079308776e-05,22697834.965263933,25009073.370803736,0.9139808057613845,0.9122902287394761
3,0.0013988999999128282,0.0010652999990270473,3.997612516398691e-05,4.224422421360259e-05,3.8620883411119064e-05,4.105751021320079e-05,24759062.449433215,25442472.514522117,0.9132286667784791,0.9130305361247131
4,0.001204100000904873,0.0010353999969083816,3.940383387738616e-05,4.1819394582680576e-05,3.9983147196249343e-05,4.2247735485191905e-05,25001755.69174648,24681109.181295548,0.9142726639315311,0.9129031899461504
5,0.00130640000134008,0.0010679999977583066,4.076609791797453e-05,4.203707605006746e-05,3.902113592912255e-05,4.253563650882884e-05,24566154.905979596,24987133.06674676,0.9128900079934875,0.9128264752026755
6,0.00128749999566935,0.0011119999981019646,4.0681834297199616e-05,4.7408889857534187e-05,4.113475205717137e-05,4.84762305867651e-05,23500646.235004753,23261372.59800107,0.9099721402660138,0.9130800405698214
