cycle,active_update_time_s,random_update_time_s,active_latency_p50_before_ms,active_latency_p90_before_ms,active_latency_p50_after_ms,active_latency_p90_after_ms,active_throughput_before_sps,active_throughput_after_sps,sim_annotator_acc_active,sim_annotator_acc_random
1,0.0014249000014388002,0.0009177000029012561,3.9607471535706276e-05,4.760199395654445e-05,4.093111439885126e-05,4.820939514899927e-05,23839629.48662376,23475465.72469338,0.9042279383420776,0.9128909823220241
2,0.0008286999945994467,0.0007066000034683384,3.968120236354564e-05,4.282704854859699e-05,4.1819394582680576e-05,4.474404879513003e-05,24722527.578932904,23779255.86185423,0.9144413547829428,0.9129890450359488
3,0.0009637999974074773,0.0007024000005912967,4.0239449841079614e-05,4.325538945110832e-05,4.0478196638879504e-05,4.4140158618806425e-05,24406866.71488703,24257892.381692734,0.906470249723824,0.9129392875896407
4,0.0008259000023826957,0.000684200000250712,3.9702267949416744e-05,4.38136366731842e-05,3.898251526259536e-05,4.3862790388105044e-05,24586654.441088125,24704657.838828392,0.903762869556551,0.9131410320612242
5,0.0008508000028086826,0.000726799997210037,3.971631201394162e-05,4.304121899985266e-05,3.918264139386806e-05,4.2458394664858254e-05,24649780.71694145,25051600.8777502,0.9032671420699249,0.9126780615130131
6,0.0013837000005878508,0.0010309999997843988,4.015869647006161e-05,4.487395562561078e-05,4.032722422252765e-05,4.62467522036766e-05,24152980.834548235,23857601.605271306,0.9144023335875395,0.9125291907875265
