split,model,threshold,accuracy,precision,recall,f1,roc_auc,avg_precision,positive_rate
clean_regression_set,before_update,0.7259621463722076,0.9993328885923949,0.8260869565217391,0.7755102040816326,0.8,0.9803056774200958,0.7376489038129216,0.0017204452090867595
clean_regression_set,after_update,0.95,0.9988939995084443,0.631578947368421,0.8571428571428571,0.7272727272727273,0.9823190742250756,0.7308144154632972,0.0017204452090867595
drifted_holdout,before_update,0.7259621463722076,0.9962930885155032,0.9738372093023255,0.7736720554272517,0.8622908622908623,0.9792703404159642,0.8749575851158118,0.015000866100814135
drifted_holdout,after_update,0.95,0.9967088169062879,0.9183168316831684,0.8568129330254042,0.8864994026284349,0.9813954221311315,0.8729722807409663,0.015000866100814135
